appid,review_score,review_score_desc,total_reviews
3581600,0.0,No user reviews,0.0
1721470,8.0,Very Positive,16159.0
3983810,0.0,No user reviews,0.0
921570,8.0,Very Positive,4642.0
2799110,7.0,Positive,32.0
200510,8.0,Very Positive,24447.0
3467710,6.0,Mostly Positive,211.0
610080,0.0,No user reviews,0.0
1135690,8.0,Very Positive,21163.0
1105420,0.0,No user reviews,0.0
1139980,8.0,Very Positive,7149.0
2486820,9.0,Overwhelmingly Positive,5261.0
3953520,0.0,No user reviews,0.0
640820,6.0,Mostly Positive,17292.0
2440510,5.0,Mixed,5461.0
1437830,7.0,Positive,34.0
3226530,8.0,Very Positive,1967.0
3900,8.0,Very Positive,1837.0
870780,8.0,Very Positive,22198.0
2066020,8.0,Very Positive,11418.0
2933080,6.0,Mostly Positive,3458.0
312060,0.0,1 user reviews,1.0
410110,6.0,Mostly Positive,1096.0
218240,7.0,Positive,17.0
1812820,0.0,No user reviews,0.0
1948800,8.0,Very Positive,399.0
2401970,9.0,Overwhelmingly Positive,758.0
3215050,5.0,Mixed,709.0
3308670,0.0,No user reviews,0.0
3308670,0.0,No user reviews,0.0
241930,8.0,Very Positive,31963.0
2879840,8.0,Very Positive,697.0
1809540,9.0,Overwhelmingly Positive,16056.0
521890,8.0,Very Positive,6839.0
1119730,6.0,Mostly Positive,9553.0
3115220,9.0,Overwhelmingly Positive,2000.0
20900,,,
666140,8.0,Very Positive,11940.0
359870,8.0,Very Positive,10084.0
278080,8.0,Very Positive,3497.0
1451940,9.0,Overwhelmingly Positive,14873.0
784950,0.0,3 user reviews,3.0
3444020,8.0,Very Positive,170.0
1369670,8.0,Very Positive,4394.0
1875830,9.0,Overwhelmingly Positive,3360.0
774801,9.0,Overwhelmingly Positive,21112.0
1072040,8.0,Very Positive,1740.0
3446920,0.0,No user reviews,0.0
1451190,5.0,Mixed,12862.0
1042550,8.0,Very Positive,4364.0
1272320,8.0,Very Positive,4253.0
1922560,8.0,Very Positive,16373.0
1364390,0.0,5 user reviews,5.0
287450,8.0,Very Positive,7558.0
1782120,8.0,Very Positive,7446.0
1286220,8.0,Very Positive,2735.0
2739590,8.0,Very Positive,881.0
1084160,8.0,Very Positive,4926.0
2951690,0.0,No user reviews,0.0
3247080,0.0,No user reviews,0.0
3064370,0.0,No user reviews,0.0
1239080,9.0,Overwhelmingly Positive,7084.0
1536610,0.0,No user reviews,0.0
2080690,8.0,Very Positive,8487.0
2358260,6.0,Mostly Positive,2216.0
3259600,8.0,Very Positive,116.0
4131600,0.0,No user reviews,0.0
1097150,8.0,Very Positive,148806.0
2187220,9.0,Overwhelmingly Positive,808.0
2625420,6.0,Mostly Positive,4875.0
1273400,8.0,Very Positive,3102.0
704450,8.0,Very Positive,5003.0
868360,8.0,Very Positive,3174.0
9420,9.0,Overwhelmingly Positive,5693.0
740130,8.0,Very Positive,10857.0
2753900,8.0,Very Positive,2017.0
3350200,8.0,Very Positive,462.0
502500,8.0,Very Positive,20214.0
934700,6.0,Mostly Positive,5737.0
1176470,8.0,Very Positive,4653.0
1278540,8.0,Very Positive,1006.0
629820,8.0,Very Positive,6517.0
3906660,5.0,Mixed,353.0
269950,8.0,Very Positive,8610.0
1446890,0.0,No user reviews,0.0
1764210,0.0,No user reviews,0.0
3404470,8.0,Very Positive,258.0
3017860,8.0,Very Positive,13099.0
403640,8.0,Very Positive,18901.0
20920,8.0,Very Positive,25179.0
2144740,8.0,Very Positive,2938.0
997010,6.0,Mostly Positive,9533.0
314160,8.0,Very Positive,13882.0
1190340,5.0,Mixed,62.0
1277400,8.0,Very Positive,3563.0
242920,8.0,Very Positive,25396.0
445220,8.0,Very Positive,7729.0
2385530,5,Mixed,2285
2114740,8,Very Positive,4597
1007040,9,Overwhelmingly Positive,5474
1094780,8,Very Positive,527
1845910,5,Mixed,27893
1501750,6,Mostly Positive,17824
1937500,9,Overwhelmingly Positive,1684
485510,8,Very Positive,8297
675010,8,Very Positive,10158
858810,8,Very Positive,9639
3365030,6,Mostly Positive,29
1562430,9,Overwhelmingly Positive,28484
2725560,0,No user reviews,0
386940,9,Overwhelmingly Positive,13720
273110,5,Mixed,159
544550,8,Very Positive,4864
1714040,0,No user reviews,0
524660,5,Mixed,31
17390,8,Very Positive,36212
2346550,0,No user reviews,0
1737100,8,Very Positive,2708
2290180,8,Very Positive,6168
2870340,8,Very Positive,396
2849080,8,Very Positive,1598
1069660,5,Mixed,4087
248390,8,Very Positive,4485
1106840,8,Very Positive,18156
3008740,8,Very Positive,264
1401730,8,Very Positive,546
1575940,8,Very Positive,4501
2058190,9,Overwhelmingly Positive,3332
532790,5,Mixed,5156
1172380,8,Very Positive,78783
3017860,8,Very Positive,13099
1338770,8,Very Positive,4067
1674170,8,Very Positive,7091
2167580,0,1 user reviews,1
3060770,0,No user reviews,0
658850,8,Very Positive,2133
1817190,8,Very Positive,18213
2162800,9,Overwhelmingly Positive,7291
2221490,6,Mostly Positive,12461
368260,8,Very Positive,10925
1188930,8,Very Positive,2381
1766060,6,Mostly Positive,2347
2692440,0,No user reviews,0
1693980,8,Very Positive,26887
2000950,8,Very Positive,8322
2074800,5,Mixed,50
843380,9,Overwhelmingly Positive,3092
895400,6,Mostly Positive,15773
2294660,5,Mixed,1579
799600,8,Very Positive,7154
1028310,8,Very Positive,2441
1601580,6,Mostly Positive,8439
1641960,8,Very Positive,4176
287390,8,Very Positive,18575
246620,8,Very Positive,23771
582500,8,Very Positive,1072
203140,8,Very Positive,12700
698780,8,Very Positive,205
617290,8,Very Positive,23612
17480,8,Very Positive,5469
1987080,8,Very Positive,10040
228180,8,Very Positive,1634
1230530,6,Mostly Positive,1172
897330,7,Positive,45
1197260,0,No user reviews,0
3314070,5,Mixed,2195
678950,8,Very Positive,25297
2951630,8,Very Positive,2491
47410,5,Mixed,99
292000,5,Mixed,4682
1089090,8,Very Positive,4618
1437880,5,Mixed,26
1646850,6,Mostly Positive,2847
3263320,6,Mostly Positive,569
503560,8,Very Positive,5423
2644470,8,Very Positive,1094
2124490,9,Overwhelmingly Positive,19362
2418520,8,Very Positive,1607
80,8,Very Positive,7146
373420,8,Very Positive,10710
3191030,9,Overwhelmingly Positive,11342
620,9,Overwhelmingly Positive,164054
3127280,0,No user reviews,0
349040,8,Very Positive,16864
451340,5,Mixed,6949
2561580,8,Very Positive,2307
1235721,5,Mixed,372
1449110,6,Mostly Positive,3345
1593350,8,Very Positive,978
3308670,0,No user reviews,0
621830,6,Mostly Positive,1330
629760,8,Very Positive,58897
3228590,8,Very Positive,5195
2690330,8,Very Positive,671
3477300,5,Mixed,207
3751890,0,No user reviews,0
920210,8,Very Positive,25734
509081,0,2 user reviews,2
898920,6,Mostly Positive,4088
1377380,6,Mostly Positive,3117
221680,8,Very Positive,10721
418460,8,Very Positive,26309
1171690,5,Mixed,13924
2840770,6,Mostly Positive,3332
209000,8,Very Positive,19685
2138710,8,Very Positive,6863
2780980,8,Very Positive,8134
223710,6,Mostly Positive,127
1276390,0,No user reviews,0
2026000,9,Overwhelmingly Positive,1481
285920,8,Very Positive,12830
1634680,6,Mostly Positive,12
1881700,0,No user reviews,0
412830,9,Overwhelmingly Positive,4812
2198150,9,Overwhelmingly Positive,12354
368500,6,Mostly Positive,9486
2617700,8,Very Positive,599
1072420,8,Very Positive,1689
1478220,0,No user reviews,0
550,9,Overwhelmingly Positive,219065
12200,8,Very Positive,13982
1735700,8,Very Positive,1059
78000,9,Overwhelmingly Positive,3579
2058190,9,Overwhelmingly Positive,3332
293760,8,Very Positive,10823
597180,8,Very Positive,3150
1660080,8,Very Positive,1532
883860,0,1 user reviews,1
3058630,5,Mixed,5372
24810,8,Very Positive,2556
851850,8,Very Positive,17351
228280,8,Very Positive,8921
1281630,6,Mostly Positive,1165
2747330,8,Very Positive,995
3014330,0,No user reviews,0
447020,8,Very Positive,6880
1455840,9,Overwhelmingly Positive,15099
33230,8,Very Positive,16714
2756920,8,Very Positive,2421
875210,5,Mixed,165
1296610,8,Very Positive,9547
610370,9,Overwhelmingly Positive,4106
1689500,9,Overwhelmingly Positive,1965
204360,9,Overwhelmingly Positive,42703
257350,8,Very Positive,5442
2981070,0,8 user reviews,8
200710,8,Very Positive,17201
387290,8,Very Positive,29490
410900,8,Very Positive,8207
239030,9,Overwhelmingly Positive,38039
502520,8,Very Positive,5409
794260,6,Mostly Positive,14869
2989820,0,No user reviews,0
307780,8,Very Positive,11108
367500,8,Very Positive,21669
616720,8,Very Positive,202
2453360,8,Very Positive,77
205100,9,Overwhelmingly Positive,37419
736190,8,Very Positive,1544
2082470,0,No user reviews,0
3788420,0,No user reviews,0
728880,8,Very Positive,13501
799960,0,No user reviews,0
2788080,7,Positive,12
2186320,9,Overwhelmingly Positive,4296
3361510,8,Very Positive,459
1547000,6,Mostly Positive,3499
1118310,0,No user reviews,0
994910,0,No user reviews,0
2928600,8,Very Positive,837
10180,8,Very Positive,16197
2064650,0,No user reviews,0
1641650,0,No user reviews,0
2511310,5,Mixed,90
3339200,0,No user reviews,0
2244130,8,Very Positive,904
1174180,8,Very Positive,268343
1385380,8,Very Positive,7469
619820,8,Very Positive,3598
620980,9,Overwhelmingly Positive,52519
2742830,9,Overwhelmingly Positive,3908
1222690,6,Mostly Positive,10322
1479730,6,Mostly Positive,452
311310,5,Mixed,5469
458750,8,Very Positive,507
3256420,0,No user reviews,0
1150690,9,Overwhelmingly Positive,52105
3798230,0,No user reviews,0
2163330,8,Very Positive,4114
1220010,6,Mostly Positive,221
3547900,0,No user reviews,0
1222700,8,Very Positive,22058
1644320,6,Mostly Positive,960
1797880,0,No user reviews,0
2426210,0,No user reviews,0
3850420,0,No user reviews,0
3821150,0,No user reviews,0
331470,8,Very Positive,50
1283700,0,No user reviews,0
1526490,4,Mostly Negative,66
3026450,8,Very Positive,348
392110,8,Very Positive,9208
612880,6,Mostly Positive,16609
704850,8,Very Positive,10811
2555950,7,Positive,47
2619650,8,Very Positive,947
2994020,0,No user reviews,0
3402530,8,Very Positive,169
3107230,6,Mostly Positive,4128
3606480,4,Mostly Negative,913
1498570,8,Very Positive,2665
1601570,8,Very Positive,4037
201810,8,Very Positive,24668
1141530,0,4 user reviews,4
2212330,9,Overwhelmingly Positive,24948
291650,8,Very Positive,10356
1670460,7,Positive,46
489520,6,Mostly Positive,660
2458530,7,Positive,32
1920490,6,Mostly Positive,1696
2458860,9,Overwhelmingly Positive,1048
780290,8,Very Positive,9878
1332010,9,Overwhelmingly Positive,74679
2124120,8,Very Positive,3130
2581950,9,Overwhelmingly Positive,1300
2916430,8,Very Positive,3379
3375780,9,Overwhelmingly Positive,1164
1448440,6,Mostly Positive,3265
24800,8,Very Positive,1448
266410,8,Very Positive,2469
2201940,6,Mostly Positive,1706
1473480,0,No user reviews,0
2853730,5,Mixed,1495
3167540,8,Very Positive,153
251060,8,Very Positive,7977
1451090,6,Mostly Positive,1982
1956800,8,Very Positive,112
15370,8,Very Positive,893
2194530,8,Very Positive,230
3014080,8,Very Positive,2966
39500,6,Mostly Positive,1944
512900,9,Overwhelmingly Positive,8187
1573360,0,No user reviews,0
629730,9,Overwhelmingly Positive,47389
641990,8,Very Positive,10971
736820,6,Mostly Positive,2003
751780,8,Very Positive,13065
1237320,8,Very Positive,14994
1941540,6,Mostly Positive,7500
22330,9,Overwhelmingly Positive,31392
268850,5,Mixed,36
1557740,9,Overwhelmingly Positive,23547
1757300,8,Very Positive,4742
3678950,6,Mostly Positive,84
952860,8,Very Positive,355
1865780,0,No user reviews,0
375450,8,Very Positive,138
1124300,5,Mixed,11928
1488200,8,Very Positive,6835
24790,8,Very Positive,4170
1266630,0,4 user reviews,4
1462040,8,Very Positive,16629
364360,8,Very Positive,18049
2888120,8,Very Positive,176
3368750,0,No user reviews,0
1672970,8,Very Positive,6045
1076200,8,Very Positive,1759
3358510,0,8 user reviews,8
346010,9,Overwhelmingly Positive,22523
418530,8,Very Positive,13678
2102040,8,Very Positive,364
3205720,0,No user reviews,0
1985810,8,Very Positive,9506
3616550,5,Mixed,139
2825530,8,Very Positive,315
546560,9,Overwhelmingly Positive,59040
1467450,0,No user reviews,0
1849250,5,Mixed,5343
517630,5,Mixed,10410
1702010,6,Mostly Positive,2351
1887840,9,Overwhelmingly Positive,8778
2582560,5,Mixed,4035
3664010,0,No user reviews,0
2644470,8,Very Positive,1094
1530300,0,No user reviews,0
327030,8,Very Positive,4179
560130,8,Very Positive,8001
1351080,6,Mostly Positive,2301
1254120,6,Mostly Positive,74
2230980,6,Mostly Positive,893
2386720,8,Very Positive,62
268650,8,Very Positive,9321
815351,0,6 user reviews,6
1546990,6,Mostly Positive,2049
2114740,8,Very Positive,4597
3112010,0,No user reviews,0
3668560,8,Very Positive,58
631510,8,Very Positive,6857
313120,6,Mostly Positive,23016
231350,0,No user reviews,0
2942780,8,Very Positive,383
3602290,6,Mostly Positive,474
361280,8,Very Positive,5079
800270,6,Mostly Positive,3300
3376250,8,Very Positive,179
911400,5,Mixed,4566
1017180,8,Very Positive,23853
1970580,8,Very Positive,3918
47810,8,Very Positive,19694
250900,9,Overwhelmingly Positive,133136
1746030,9,Overwhelmingly Positive,829
3132860,0,No user reviews,0
994280,8,Very Positive,1670
1458140,8,Very Positive,12455
1540960,0,No user reviews,0
3631290,8,Very Positive,2011
3873970,6,Mostly Positive,656
2103130,7,Positive,24
3358250,6,Mostly Positive,177
447040,8,Very Positive,23362
3981100,9,Overwhelmingly Positive,500
2370570,8,Very Positive,1080
3285500,8,Very Positive,94
3813590,0,No user reviews,0
65980,5,Mixed,9901
413420,9,Overwhelmingly Positive,11742
859580,5,Mixed,12364
962400,8,Very Positive,3051
1784570,6,Mostly Positive,547
463530,9,Overwhelmingly Positive,9455
3121110,8,Very Positive,3224
219150,9,Overwhelmingly Positive,39433
377530,8,Very Positive,582
1025600,8,Very Positive,2379
1238000,6,Mostly Positive,9267
1352080,0,No user reviews,0
1096530,8,Very Positive,12898
1761390,9,Overwhelmingly Positive,8957
230290,9,Overwhelmingly Positive,17641
232890,5,Mixed,4177
927380,9,Overwhelmingly Positive,8003
431240,8,Very Positive,34363
1606180,6,Mostly Positive,135
2495450,9,Overwhelmingly Positive,512
10090,8,Very Positive,32526
377840,8,Very Positive,6404
891040,0,No user reviews,0
2201320,8,Very Positive,4527
22370,8,Very Positive,29005
1583320,8,Very Positive,3715
3743240,7,Positive,14
2133760,9,Overwhelmingly Positive,2723
3366290,5,Mixed,103
16810,8,Very Positive,825
50130,8,Very Positive,9986
2167960,0,No user reviews,0
2677660,8,Very Positive,6366
3528450,7,Positive,37
291480,5,Mixed,404
15170,8,Very Positive,1270
24780,8,Very Positive,5167
1227890,8,Very Positive,1284
1608290,8,Very Positive,765
2593370,8,Very Positive,639
979920,0,1 user reviews,1
1857090,8,Very Positive,2464
3054820,7,Positive,40
3308670,0,No user reviews,0
3308670,0,No user reviews,0
780310,8,Very Positive,8027
648100,8,Very Positive,720
1342490,6,Mostly Positive,470
2707940,8,Very Positive,2075
3330250,9,Overwhelmingly Positive,793
3454590,9,Overwhelmingly Positive,1272
937310,8,Very Positive,356
1166860,8,Very Positive,3184
1161830,5,Mixed,269
249130,8,Very Positive,7475
371970,8,Very Positive,7209
1392860,5,Mixed,3791
1202130,8,Very Positive,5492
1650010,6,Mostly Positive,1103
3103840,0,No user reviews,0
2028850,6,Mostly Positive,98
704270,6,Mostly Positive,17784
2492040,8,Very Positive,1037
3672720,8,Very Positive,584
3978510,0,No user reviews,0
1265920,8,Very Positive,3332
983870,8,Very Positive,1676
1533390,8,Very Positive,38326
48190,8,Very Positive,8366
414700,8,Very Positive,10042
1369320,0,4 user reviews,4
2084000,9,Overwhelmingly Positive,3087
2761670,5,Mixed,10
563560,0,No user reviews,0
1134710,8,Very Positive,1163
3061810,8,Very Positive,3055
960990,8,Very Positive,6864
3112260,6,Mostly Positive,1049
595520,8,Very Positive,4544
834530,8,Very Positive,10301
919640,6,Mostly Positive,4204
1321440,9,Overwhelmingly Positive,5651
3017450,0,No user reviews,0
3436030,5,Mixed,423
3839850,0,No user reviews,0
234330,5,Mixed,13
1270580,8,Very Positive,1957
2246670,6,Mostly Positive,111
712100,5,Mixed,6941
1785650,5,Mixed,733
115300,8,Very Positive,6641
1203190,6,Mostly Positive,2410
239820,8,Very Positive,21871
270150,8,Very Positive,4996
978780,8,Very Positive,3152
2239150,9,Overwhelmingly Positive,10010
1158850,8,Very Positive,3139
1304930,8,Very Positive,30098
274190,9,Overwhelmingly Positive,20239
365960,6,Mostly Positive,3397
1491000,6,Mostly Positive,364
298050,6,Mostly Positive,4642
590380,8,Very Positive,12027
1153410,6,Mostly Positive,1417
3035500,8,Very Positive,861
3771310,0,No user reviews,0
3620,8,Very Positive,1311
946050,0,No user reviews,0
1105670,8,Very Positive,6012
1731270,0,No user reviews,0
2346660,0,No user reviews,0
2660460,9,Overwhelmingly Positive,4671
2967990,6,Mostly Positive,1077
321960,5,Mixed,2515
337320,9,Overwhelmingly Positive,13121
1416920,7,Positive,46
2396980,9,Overwhelmingly Positive,1384
2698780,6,Mostly Positive,1882
3854330,8,Very Positive,69
528740,4,Mostly Negative,16
7940,8,Very Positive,10398
261570,9,Overwhelmingly Positive,13390
569480,8,Very Positive,18915
681280,9,Overwhelmingly Positive,9919
1268750,8,Very Positive,20300
2806410,0,No user reviews,0
550650,5,Mixed,11
2776900,0,No user reviews,0
1829980,8,Very Positive,325
2920270,0,No user reviews,0
3575980,8,Very Positive,153
1266840,8,Very Positive,2290
292120,6,Mostly Positive,8661
488790,8,Very Positive,16094
939400,8,Very Positive,2231
1430190,5,Mixed,7402
1927780,0,No user reviews,0
3146520,9,Overwhelmingly Positive,48736
3754990,0,No user reviews,0
213670,9,Overwhelmingly Positive,29507
1272080,5,Mixed,30436
369990,8,Very Positive,1203
553420,8,Very Positive,9273
3594620,0,No user reviews,0
1048370,0,No user reviews,0
1288320,8,Very Positive,3999
1367550,8,Very Positive,1967
1967430,9,Overwhelmingly Positive,1796
1072040,8,Very Positive,1740
1276760,5,Mixed,2423
3177890,8,Very Positive,81
694280,8,Very Positive,2603
1307890,8,Very Positive,4304
1683150,9,Overwhelmingly Positive,2480
2842040,6,Mostly Positive,4384
2849080,8,Very Positive,1598
1520370,9,Overwhelmingly Positive,9508
418030,6,Mostly Positive,6758
2356560,8,Very Positive,438
3363560,6,Mostly Positive,49
2050650,9,Overwhelmingly Positive,52943
415200,8,Very Positive,5014
476600,5,Mixed,13301
777130,8,Very Positive,90
1827980,0,No user reviews,0
2487150,6,Mostly Positive,403
368070,5,Mixed,4270
480490,8,Very Positive,21188
1088090,5,Mixed,4185
1282730,8,Very Positive,15636
3178350,8,Very Positive,645
333640,9,Overwhelmingly Positive,9431
976620,0,No user reviews,0
2427410,5,Mixed,1427
3055250,0,No user reviews,0
291480,5,Mixed,404
339600,5,Mixed,44
567640,8,Very Positive,8774
4038990,0,No user reviews,0
42960,8,Very Positive,8989
597170,9,Overwhelmingly Positive,16354
1356670,8,Very Positive,1157
1486920,8,Very Positive,4249
1580240,8,Very Positive,973
2791440,0,No user reviews,0
458710,8,Very Positive,2348
1644320,6,Mostly Positive,960
673880,8,Very Positive,7654
1709920,0,No user reviews,0
3760120,0,No user reviews,0
354290,0,5 user reviews,5
645630,8,Very Positive,21478
1267540,8,Very Positive,369
413410,9,Overwhelmingly Positive,14988
2162800,9,Overwhelmingly Positive,7291
1509510,8,Very Positive,2894
326460,8,Very Positive,16831
647960,9,Overwhelmingly Positive,2589
1286680,6,Mostly Positive,10933
3996620,0,No user reviews,0
2417610,8,Very Positive,5459
2494350,6,Mostly Positive,70
3763830,0,No user reviews,0
108710,8,Very Positive,14967
673610,8,Very Positive,4501
1026680,6,Mostly Positive,2466
1262580,8,Very Positive,7002
1919500,0,No user reviews,0
2500750,5,Mixed,238
4062070,0,No user reviews,0
204880,8,Very Positive,7251
287980,9,Overwhelmingly Positive,6754
1259790,8,Very Positive,1116
1364210,8,Very Positive,833
2434730,8,Very Positive,102
3625270,8,Very Positive,276
1088850,8,Very Positive,17859
208580,8,Very Positive,17197
718670,6,Mostly Positive,5075
1160750,0,No user reviews,0
1249970,4,Mostly Negative,2432
628050,6,Mostly Positive,43
1207650,8,Very Positive,6496
2052410,9,Overwhelmingly Positive,1030
2507820,8,Very Positive,69
2859390,0,No user reviews,0
3103930,0,No user reviews,0
212500,8,Very Positive,98
1611910,6,Mostly Positive,6961
3193460,0,No user reviews,0
3534830,0,No user reviews,0
214730,8,Very Positive,1004
236110,5,Mixed,2111
555570,5,Mixed,812
674940,8,Very Positive,52075
2963870,0,No user reviews,0
268050,6,Mostly Positive,7200
1364390,0,5 user reviews,5
3473160,0,No user reviews,0
226840,8,Very Positive,4539
282440,8,Very Positive,2500
588030,9,Overwhelmingly Positive,5456
1337760,6,Mostly Positive,2357
2140020,8,Very Positive,2904
282800,8,Very Positive,8557
2683150,8,Very Positive,3412
3553500,0,No user reviews,0
3730790,9,Overwhelmingly Positive,542
4027870,0,No user reviews,0
311560,8,Very Positive,6925
2378900,9,Overwhelmingly Positive,17528
2589500,9,Overwhelmingly Positive,1186
2584990,0,4 user reviews,4
1016950,5,Mixed,2370
1985170,0,3 user reviews,3
4028640,0,9 user reviews,9
1430190,5,Mixed,7402
261640,6,Mostly Positive,18741
326360,0,No user reviews,0
553520,8,Very Positive,1471
846770,8,Very Positive,4702
1700870,8,Very Positive,1810
2828860,6,Mostly Positive,14441
3400000,6,Mostly Positive,1192
16900,8,Very Positive,13772
1122340,8,Very Positive,641
1341290,8,Very Positive,5472
1537830,5,Mixed,587
1545560,8,Very Positive,1766
1991040,7,Positive,16
2248760,6,Mostly Positive,4351
2596880,0,No user reviews,0
3784030,0,No user reviews,0
3754930,0,No user reviews,0
451410,6,Mostly Positive,22
301190,8,Very Positive,304
1377580,0,No user reviews,0
1357210,6,Mostly Positive,1424
3002370,0,No user reviews,0
3769130,8,Very Positive,2011
251670,0,No user reviews,0
304410,9,Overwhelmingly Positive,2466
2350790,0,3 user reviews,3
2511500,8,Very Positive,1234
3524750,8,Very Positive,83
611500,6,Mostly Positive,3779
1105510,8,Very Positive,3618
1352330,0,No user reviews,0
2543180,8,Very Positive,233
2583940,0,No user reviews,0
2820820,8,Very Positive,2254
3165680,0,No user reviews,0
3809900,0,No user reviews,0
55230,8,Very Positive,18752
602320,8,Very Positive,1114
2958130,8,Very Positive,2873
939960,6,Mostly Positive,13814
1252780,0,4 user reviews,4
2468730,0,4 user reviews,4
3895230,0,No user reviews,0
210970,8,Very Positive,8419
339610,5,Mixed,76
839770,6,Mostly Positive,2806
867210,8,Very Positive,5568
1556790,8,Very Positive,7462
2492430,0,No user reviews,0
287290,6,Mostly Positive,6126
1150440,8,Very Positive,8742
2140510,6,Mostly Positive,3578
2288470,8,Very Positive,825
2375780,8,Very Positive,229
2211170,8,Very Positive,602
2106670,8,Very Positive,1317
855740,8,Very Positive,1595
1149620,8,Very Positive,10057
2402710,0,No user reviews,0
2478970,8,Very Positive,3024
3502270,0,No user reviews,0
3911640,0,No user reviews,0
384180,7,Positive,32
402840,6,Mostly Positive,22
3509420,0,No user reviews,0
3569500,8,Very Positive,336
19680,8,Very Positive,9714
237310,6,Mostly Positive,36
363090,7,Positive,17
373930,6,Mostly Positive,1553
1382330,8,Very Positive,6832
2438990,8,Very Positive,245
527430,6,Mostly Positive,9867
589290,8,Very Positive,16773
645260,0,No user reviews,0
874390,9,Overwhelmingly Positive,3023
1404850,8,Very Positive,5174
1530160,8,Very Positive,1056
1980920,0,No user reviews,0
3077390,5,Mixed,123
3156770,8,Very Positive,8392
259680,8,Very Positive,3928
2445690,8,Very Positive,790
1280930,9,Overwhelmingly Positive,1600
1578390,8,Very Positive,1585
1593030,8,Very Positive,4427
1911610,8,Very Positive,4506
2238470,9,Overwhelmingly Positive,1005
3457380,0,No user reviews,0
300,8,Very Positive,7265
1433140,5,Mixed,10551
1951410,6,Mostly Positive,110
2084970,0,No user reviews,0
3472890,7,Positive,26
65800,8,Very Positive,8394
290080,5,Mixed,4268
621060,8,Very Positive,19508
2768430,9,Overwhelmingly Positive,13603
728530,8,Very Positive,1956
871540,6,Mostly Positive,2450
1113120,8,Very Positive,7461
3135530,0,No user reviews,0
967050,8,Very Positive,10987
2205850,8,Very Positive,407
3226530,8,Very Positive,1967
1985480,0,No user reviews,0
3525400,0,No user reviews,0
1011510,0,No user reviews,0
1669480,6,Mostly Positive,521
2406770,6,Mostly Positive,20605
2484250,0,No user reviews,0
3681640,0,No user reviews,0
4122860,0,No user reviews,0
48720,8,Very Positive,3209
235900,8,Very Positive,779
719640,0,No user reviews,0
1338770,8,Very Positive,4067
1493640,8,Very Positive,2525
1719040,6,Mostly Positive,75
1977530,0,3 user reviews,3
2213190,8,Very Positive,1255
2626940,0,No user reviews,0
2626940,0,No user reviews,0
2674290,0,No user reviews,0
4116740,0,No user reviews,0
573100,6,Mostly Positive,5539
1963370,5,Mixed,2213
2235200,8,Very Positive,240
2273980,6,Mostly Positive,2061
2755480,8,Very Positive,87
2949320,8,Very Positive,654
3110070,9,Overwhelmingly Positive,504
235460,9,Overwhelmingly Positive,38022
310950,6,Mostly Positive,12612
1475810,8,Very Positive,4857
3694620,0,No user reviews,0
220700,8,Very Positive,2161
390290,8,Very Positive,274
773790,8,Very Positive,2635
1805480,8,Very Positive,2420
2059810,7,Positive,34
2710480,8,Very Positive,88
3117660,0,1 user reviews,1
470310,8,Very Positive,3205
571740,8,Very Positive,11675
1621680,6,Mostly Positive,33
1642320,6,Mostly Positive,10
1012880,9,Overwhelmingly Positive,4875
1229240,8,Very Positive,4315
1245480,5,Mixed,655
1473350,9,Overwhelmingly Positive,6715
1865060,8,Very Positive,407
2868860,8,Very Positive,258
581320,8,Very Positive,58203
690640,8,Very Positive,2823
1999360,9,Overwhelmingly Positive,11369
2429860,8,Very Positive,820
3692220,0,No user reviews,0
207610,9,Overwhelmingly Positive,23543
240720,8,Very Positive,39678
244850,8,Very Positive,66300
1280770,0,3 user reviews,3
1612810,0,No user reviews,0
1949740,0,No user reviews,0
4029380,0,No user reviews,0
1262540,5,Mixed,6802
1905950,0,No user reviews,0
2101960,8,Very Positive,2612
2171440,9,Overwhelmingly Positive,6888
2696050,8,Very Positive,288
3212570,0,No user reviews,0
3017330,8,Very Positive,212
3483740,9,Overwhelmingly Positive,2285
337000,6,Mostly Positive,16020
372000,5,Mixed,3136
601430,8,Very Positive,5827
611670,6,Mostly Positive,7098
1543030,8,Very Positive,913
2239550,5,Mixed,4233
4850,8,Very Positive,696
6850,6,Mostly Positive,1652
1369630,8,Very Positive,10442
214490,8,Very Positive,25380
1002300,8,Very Positive,9641
1232420,0,No user reviews,0
1658150,8,Very Positive,2589
2159270,8,Very Positive,90
3036080,8,Very Positive,553
3577060,0,No user reviews,0
1987080,8,Very Positive,10040
307960,6,Mostly Positive,5098
842780,8,Very Positive,729
1128920,8,Very Positive,6762
250320,9,Overwhelmingly Positive,17556
1386820,0,No user reviews,0
1754850,0,No user reviews,0
1953520,5,Mixed,894
2089600,8,Very Positive,446
2239140,0,No user reviews,0
329050,8,Very Positive,5337
760160,0,No user reviews,0
866020,0,No user reviews,0
1182020,0,9 user reviews,9
1328660,6,Mostly Positive,4920
1635450,5,Mixed,1768
1880620,8,Very Positive,552
2459550,9,Overwhelmingly Positive,2139
2730970,0,1 user reviews,1
2064870,5,Mixed,468
2231450,9,Overwhelmingly Positive,43463
439250,8,Very Positive,155
1124180,8,Very Positive,1007
1262560,6,Mostly Positive,7523
1961460,0,No user reviews,0
3474900,6,Mostly Positive,132
3800340,8,Very Positive,812
2280,9,Overwhelmingly Positive,16072
627270,8,Very Positive,6467
2126190,5,Mixed,329
